Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive
ğŸ‘,0x1f411,21,0.921935783,6,13,2
ğŸ,0x1f3c1,21,0.618314821,0,9,12
ğŸ,0x1f35e,21,0.710838498,6,8,7
ğŸ¾,0x1f3be,21,0.820392839,2,4,15
â•š,0x255a,21,0.714311764,0,14,7
ğŸˆ¹,0x1f239,21,0.349907717,1,12,8
ğŸ³,0x1f433,20,0.65571861,4,9,7
ğŸ‘®,0x1f46e,20,0.742230559,10,8,2
â˜¹,0x2639,20,0.776559964,14,4,2
ğŸµ,0x1f435,20,0.63050797,1,7,12
âœª,0x272a,20,0.287581918,0,13,7
â—•,0x25d5,20,0.594134042,0,10,10
ğŸ—¼,0x1f5fc,20,0.653788547,1,6,13
â–,0x2590,20,0.304138759,4,15,1
â™ ,0x2660,20,0.533120829,0,13,7
â”³,0x2533,20,0.399288134,10,8,2
ğŸ‘º,0x1f47a,19,0.824824563,8,7,4
ğŸš,0x1f41a,19,0.526458845,1,12,6
ğŸ‘‚,0x1f442,19,0.68212761,7,8,4
ğŸ—½,0x1f5fd,19,0.651087541,1,10,8
ğŸµ,0x1f375,19,0.650326294,3,5,11
ğŸ†’,0x1f192,19,0.627794041,0,11,8
ğŸ¯,0x1f36f,19,0.779822828,7,4,8
ğŸº,0x1f43a,19,0.734916913,2,10,7
â‡¨,0x21e8,19,0.541146317,0,9,10
â¨,0x27a8,19,0.558287039,2,12,5
ğŸŒ“,0x1f313,19,0.458297394,0,6,13
ğŸ”’,0x1f512,19,0.939297049,5,5,9
â•¬,0x256c,19,0.32158749,6,10,3
ğŸ‘³,0x1f473,18,0.816081393,2,1,15
ğŸŒ‚,0x1f302,18,0.784983076,2,9,7
ğŸšŒ,0x1f68c,18,0.635613322,2,10,6
â™©,0x2669,18,0.791816647,0,7,11
ğŸ¡,0x1f361,18,0.699734257,5,9,4
â¥,0x2765,18,0.440217022,0,13,5
ğŸ¡,0x1f3a1,18,0.506097489,1,10,7
ğŸ’Œ,0x1f48c,17,0.805000544,2,3,12
ğŸ©,0x1f429,17,0.87034228,0,10,7
ğŸŒœ,0x1f31c,17,0.604117045,0,7,10
âŒš,0x231a,17,0.64929786,2,9,6
ğŸš¿,0x1f6bf,17,0.669217138,1,3,13
ğŸ–,0x1f416,17,0.814054951,0,14,3
ğŸ”†,0x1f506,17,0.604618098,0,6,11
ğŸŒ›,0x1f31b,17,0.679966738,0,6,11
ğŸ’‚,0x1f482,17,0.691282654,8,4,5
ğŸ”,0x1f414,17,0.627149273,1,9,7
ğŸ™,0x1f64e,17,0.640742988,8,2,7
ğŸ©,0x1f3e9,16,0.587431016,2,4,10
ğŸ‡«,0x1f1eb,16,0.718033886,0,7,9
ğŸ”¨,0x1f528,16,0.738603866,6,6,4
ğŸ“¢,0x1f4e2,16,0.545722402,0,8,8
ğŸ¦,0x1f426,16,0.75753571,0,8,8
ğŸ²,0x1f432,16,0.457546329,2,13,1
â™»,0x267b,16,0.438690753,0,7,9
ğŸŒ˜,0x1f318,16,0.577817017,0,5,11
ğŸ,0x1f350,16,0.84457574,5,3,8
ğŸŒ”,0x1f314,16,0.447188207,0,5,11
â•¥,0x2565,16,0.8694829,6,2,8
âŠ,0x274a,16,0.45212766,0,16,0
ğŸ‘–,0x1f456,15,0.910194857,1,7,7
ğŸšº,0x1f6ba,15,0.677226689,2,8,5
ğŸ˜—,0x1f617,15,0.714328477,1,2,12
ğŸ­,0x1f3ad,15,0.657660049,5,5,5
ğŸ„,0x1f404,15,0.825887991,2,6,7
â—Ÿ,0x25df,15,0.646546064,2,12,1
ğŸ¢,0x1f362,15,0.684276452,5,7,3
ğŸ¨,0x1f3a8,15,0.490548154,1,10,4
â¬‡,0x2b07,15,0.631917187,2,4,9
ğŸš¼,0x1f6bc,15,0.692874634,0,5,10
â›²,0x26f2,15,0.697309585,1,12,2
â–,0x2581,15,0.711319751,0,15,0
ğŸ‡´,0x1f1f4,15,0.676124081,0,9,6
ğŸŒ—,0x1f317,15,0.54681955,0,4,11
ğŸŒ–,0x1f316,15,0.534539354,0,4,11
ğŸ”…,0x1f505,15,0.634782609,0,0,15
ğŸ‘œ,0x1f45c,14,0.675482619,2,6,6
ğŸŒ,0x1f40c,14,0.421349764,0,3,11
ğŸ’¼,0x1f4bc,14,0.573028381,1,3,10
ğŸš•,0x1f695,14,0.526016674,3,8,3
ğŸ¹,0x1f439,14,0.743700839,3,3,8
ğŸŒ ,0x1f320,14,0.761411531,2,1,11
ğŸˆ,0x1f408,14,0.645414223,0,9,5
â‡§,0x21e7,14,0.461420203,0,12,2
â˜,0x260e,14,0.836709012,2,10,2
ğŸŒ,0x1f301,14,0.744406749,1,9,4
âš«,0x26ab,14,0.440912997,3,4,7
â™§,0x2667,14,0.775062446,0,6,8
ğŸ°,0x1f3f0,14,0.434066804,1,7,6
ğŸšµ,0x1f6b5,14,0.5561554,0,8,6
ğŸ¢,0x1f3a2,14,0.825803746,1,4,9
ğŸ·,0x1f3b7,14,0.759955203,0,3,11
ğŸ,0x1f390,14,0.290879701,0,11,3
â”ˆ,0x2508,14,0.792740417,12,0,2
â•—,0x2557,14,0.361119833,0,8,6
â•±,0x2571,14,0.547959184,0,14,0
ğŸŒ‡,0x1f307,13,0.54287435,0,5,8
â°,0x23f0,13,0.645780266,2,2,9
â‡©,0x21e9,13,0.503572636,0,13,0
ğŸš‚,0x1f682,13,0.656030729,0,9,4
â— ,0x25e0,13,0.652555193,0,6,7
ğŸ¿,0x1f3bf,13,0.727391903,1,5,7
âœ¦,0x2726,13,0.402369693,0,12,1
ğŸ†”,0x1f194,13,0.479124776,0,1,12
â›ª,0x26ea,13,0.38723933,2,7,4
ğŸŒ’,0x1f312,13,0.446222397,0,4,9
ğŸª,0x1f42a,13,0.836925018,0,4,9
â•”,0x2554,13,0.309824364,0,9,4
â•,0x255d,13,0.800037569,0,6,7
ğŸ‘”,0x1f454,12,0.520012314,2,3,7
ğŸ”±,0x1f531,12,0.790792217,3,5,4
ğŸ†“,0x1f193,12,0.551459397,0,9,3
ğŸ‹,0x1f40b,12,0.865813424,2,5,5
â–½,0x25bd,12,0.843553507,1,4,7
â–‚,0x2582,12,0.578512397,0,12,0
ğŸ›,0x1f41b,12,0.672751951,2,4,6
ğŸ‘•,0x1f455,12,0.795097842,1,4,7
ğŸš‹,0x1f68b,12,0.317741493,0,11,1
ğŸ’³,0x1f4b3,12,0.83392297,1,4,7
ğŸŒ†,0x1f306,12,0.764797204,2,6,4
ğŸ§,0x1f3e7,12,0.888240175,0,0,12
ğŸ’¡,0x1f4a1,12,0.597619454,0,3,9
ğŸ”¹,0x1f539,12,0.170199929,2,6,4
â¬…,0x2b05,12,0.662574787,0,5,7
ğŸ ,0x1f360,12,0.938678015,5,2,5
ğŸ«,0x1f42b,12,0.770082215,0,7,5
ğŸª,0x1f3ea,12,0.374437236,2,7,3
Û©,0x6e9,12,0.464312944,0,12,0
ğŸ‡±,0x1f1f1,12,0.71333692,0,6,6
ğŸ“¹,0x1f4f9,11,0.718346535,1,3,7
ğŸ‘,0x1f45e,11,0.779457078,1,3,7
ğŸš‘,0x1f691,11,0.758087751,3,4,4
ğŸ†˜,0x1f198,11,0.775131806,4,2,5
ğŸ‘š,0x1f45a,11,0.810043786,0,3,8
ğŸš,0x1f68d,11,0.659558885,4,2,5
â–¡,0x25a1,11,0.673637431,7,0,4
ğŸ‚,0x1f402,11,0.774388184,1,7,3
ğŸš£,0x1f6a3,11,0.712555862,0,3,8
âœ³,0x2733,11,0.37234627,0,11,0
ğŸ‰,0x1f3c9,11,0.837042609,0,4,7
ğŸ—»,0x1f5fb,11,0.723455901,0,3,8
ğŸ€,0x1f400,11,0.701470653,1,7,3
â•¦,0x2566,11,0.22026307,0,6,5
â›º,0x26fa,10,0.905848988,1,2,7
ğŸ•,0x1f415,10,0.879333592,1,5,4
ğŸ‚,0x1f3c2,10,0.777003138,1,3,6
ğŸ‘¡,0x1f461,10,0.63543995,1,3,6
ğŸ“»,0x1f4fb,10,0.726200366,1,4,5
âœ’,0x2712,10,0.543607437,1,5,4
ğŸŒ°,0x1f330,10,0.786442145,0,3,7
ğŸ¢,0x1f3e2,10,0.542295544,0,8,2
ğŸ’,0x1f392,10,0.614006372,1,2,7
âŒ’,0x2312,10,0.623939324,0,3,7
ğŸ«,0x1f3eb,10,0.644209517,6,1,3
ğŸ“´,0x1f4f4,10,0.981898981,1,0,9
ğŸš¢,0x1f6a2,10,0.817914113,3,1,6
ğŸšš,0x1f69a,10,0.479308081,2,7,1
ğŸ‰,0x1f409,10,0.628494919,0,8,2
â’,0x2752,10,0.587413086,0,7,3
ğŸŠ,0x1f40a,10,0.84550756,2,5,3
ğŸ””,0x1f514,10,0.713041475,0,0,10
â—¢,0x25e2,10,0.571991872,0,2,8
ğŸ¥,0x1f3e5,9,0.648092966,1,4,4
â”,0x2754,9,0.787466861,3,3,3
ğŸš–,0x1f696,9,0.800144753,3,4,2
ğŸƒ,0x1f0cf,9,0.685606875,3,2,4
â–¼,0x25bc,9,0.656774297,2,4,3
â–Œ,0x258c,9,0.420711618,4,4,1
â˜›,0x261b,9,0.553782742,0,5,4
âœ©,0x2729,9,0.265667997,0,9,0
ğŸ’’,0x1f492,9,0.79417208,0,3,6
ğŸš¤,0x1f6a4,9,0.503972435,0,5,4
ğŸ,0x1f410,9,0.720583133,0,4,5
â– ,0x25a0,9,0.79044432,5,2,2
ğŸ”š,0x1f51a,9,0.868645196,1,3,5
ğŸ»,0x1f3bb,9,0.720880053,0,5,4
ğŸ”·,0x1f537,9,0.367845118,0,7,2
ğŸš¦,0x1f6a6,9,0.454265022,2,4,3
ğŸ”“,0x1f513,9,0.802890324,3,2,4
ğŸ½,0x1f3bd,9,0.903767713,0,4,5
ğŸ“…,0x1f4c5,9,0.597376373,2,3,4
ğŸº,0x1f3ba,9,0.646180394,1,0,8
âœ¯,0x272f,9,0.32090504,0,9,0
ğŸˆ,0x1f348,9,0.520981407,6,1,2
âœ‰,0x2709,9,0.44131007,1,4,4
â•£,0x2563,9,0.641758242,0,9,0
â—¤,0x25e4,9,0.669223855,0,0,9
â—‹,0x25cb,8,0.625334477,0,3,5
ğŸ¼,0x1f37c,8,0.889794471,1,1,6
ğŸ“€,0x1f4c0,8,0.842924661,1,5,2
ğŸš›,0x1f69b,8,0.552176238,2,6,0
ğŸ““,0x1f4d3,8,0.835156432,1,4,3
â˜‰,0x2609,8,0.985925307,0,6,2
ğŸ’´,0x1f4b4,8,0.837157842,3,4,1
â”¼,0x253c,8,0.594639298,2,4,2
ğŸƒ,0x1f403,8,0.82964401,0,8,0
â°,0x27b0,8,0.255281448,4,1,3
ğŸ”Œ,0x1f50c,8,0.84383834,3,3,2
ğŸ„,0x1f344,8,0.481955716,2,4,2
ğŸ“•,0x1f4d5,8,0.687815619,1,4,3
ğŸ“£,0x1f4e3,8,0.665290609,1,2,5
ğŸš“,0x1f693,8,0.654503222,0,5,3
ğŸ—,0x1f417,8,0.756674318,0,3,5
â†ª,0x21aa,8,0.726671282,0,7,1
â›³,0x26f3,8,0.659686501,0,1,7
â”»,0x253b,8,0.436070741,6,0,2
â”›,0x251b,8,0.711630126,0,2,6
â”ƒ,0x2503,8,0.495888704,0,4,4
ğŸ‘±,0x1f471,7,0.584040891,1,4,2
â³,0x23f3,7,0.829006815,3,1,3
ğŸ’º,0x1f4ba,7,0.499522738,1,3,3
ğŸ‡,0x1f3c7,7,0.829351657,3,2,2
â˜»,0x263b,7,0.808078576,1,3,3
ğŸ“,0x1f4de,7,0.639663641,0,3,4
â’¶,0x24b6,7,0.467453036,2,4,1
ğŸŒ‰,0x1f309,7,0.848338345,0,2,5
ğŸš©,0x1f6a9,7,0.14668319,3,3,1
âœ,0x270e,7,0.547314568,0,2,5
ğŸ“ƒ,0x1f4c3,7,0.75418917,0,3,4
ğŸ¨,0x1f3e8,7,0.803363124,0,5,2
ğŸ“Œ,0x1f4cc,7,0.799054518,5,1,1
â™,0x264e,7,0.85514993,2,4,1
ğŸ’·,0x1f4b7,7,0.573124902,0,3,4
ğŸš„,0x1f684,7,0.699813945,0,2,5
â–²,0x25b2,7,0.33783723,0,2,5
â›µ,0x26f5,7,0.323527212,0,2,5
ğŸ”¸,0x1f538,7,0.17210479,0,5,2
âŒ›,0x231b,7,0.796787872,2,2,3
ğŸšœ,0x1f69c,7,0.76727505,0,0,7
ğŸ†,0x1f406,7,0.550090954,0,4,3
ğŸ‘’,0x1f452,7,0.843648743,1,3,3
â•,0x2755,7,0.86202303,1,3,3
ğŸ”›,0x1f51b,7,0.474006336,1,1,5
â™¢,0x2662,7,0.868165215,0,4,3
ğŸ‡²,0x1f1f2,7,0.786773623,0,3,4
â…,0x2745,7,0.247154472,0,1,6
ğŸ‘,0x1f45d,6,0.611228018,1,1,4
âœ,0x271e,6,0.509389671,0,3,3
â—¡,0x25e1,6,0.946756676,0,4,2
ğŸ‹,0x1f38b,6,0.785515587,1,0,5
ğŸ‘¥,0x1f465,6,0.83792517,1,2,3
ğŸ“µ,0x1f4f5,6,0.794071373,1,3,2
ğŸ¡,0x1f421,6,0.867288557,0,4,2
â—†,0x25c6,6,0.602165081,0,1,5
ğŸ¯,0x1f3ef,6,0.529919889,0,5,1
â˜‚,0x2602,6,0.453390203,1,4,1
ğŸ”­,0x1f52d,6,0.715984026,0,3,3
ğŸª,0x1f3aa,6,0.607881289,0,4,2
ğŸœ,0x1f41c,6,0.879901961,0,2,4
â™Œ,0x264c,6,0.790409536,0,1,5
â˜,0x2610,6,0.538095238,6,0,0
ğŸ‘·,0x1f477,6,0.739199448,1,2,3
â†³,0x21b3,6,0.346428571,0,6,0
ğŸ”ˆ,0x1f508,6,0.635444115,0,4,2
ğŸ“„,0x1f4c4,6,0.624139531,0,0,6
ğŸ“,0x1f4cd,6,0.48869302,1,3,2
ğŸš,0x1f690,6,0.77642636,0,1,5
ğŸš”,0x1f694,6,0.521943521,1,4,1
ğŸŒ‹,0x1f30b,6,0.379680055,0,2,4
ğŸ“¡,0x1f4e1,6,0.553891601,1,2,3
â©,0x23e9,6,0.7317139,0,5,1
ğŸš³,0x1f6b3,6,0.102993951,0,0,6
âœ˜,0x2718,6,0.538602654,0,1,5
Û,0x6de,6,0.471786165,0,6,0
â˜¾,0x263e,6,0.452907711,0,6,0
ğŸ…°,0x1f170,6,0.311138998,1,2,3
ğŸ“¥,0x1f4e5,6,0.981884058,0,6,0
ğŸ‡¼,0x1f1fc,6,0.734391905,0,3,3
â”“,0x2513,6,0.51522533,0,2,4
â”£,0x2523,6,0.487486157,0,2,4
â“,0x24c1,6,0.726851852,0,3,3
â’º,0x24ba,6,0.814814815,0,3,3
ğŸ”¦,0x1f526,5,0.852648347,0,5,0
ğŸ‘¤,0x1f464,5,0.785820605,0,1,4
ğŸš,0x1f681,5,0.509988852,0,4,1
ğŸ ,0x1f3a0,5,0.57433687,0,2,3
ğŸ,0x1f401,5,0.418555982,2,3,0
ğŸ“—,0x1f4d7,5,0.78915959,1,2,2
â”,0x2510,5,0.770866381,2,2,1
â˜®,0x262e,5,0.75037594,2,1,2
â™‚,0x2642,5,0.580233775,0,4,1
â—,0x25de,5,0.722789157,1,3,1
ğŸ“¯,0x1f4ef,5,0.974048452,1,4,0
ğŸ”©,0x1f529,5,0.672722386,1,2,2
ğŸ‘¢,0x1f462,5,0.994117647,0,1,4
â—‚,0x25c2,5,0.198500589,0,3,2
ğŸ“°,0x1f4f0,5,0.860149569,1,1,3
ğŸ“¶,0x1f4f6,5,0.930492899,0,3,2
ğŸš¥,0x1f6a5,5,0.723893805,1,3,1
ğŸŒ„,0x1f304,5,0.285583654,0,4,1
ğŸ—¾,0x1f5fe,5,0.738585725,0,3,2
ğŸ”¶,0x1f536,5,0.786004057,0,3,2
ğŸ¤,0x1f3e4,5,0.272575758,0,3,2
ğŸ©,0x1f3a9,5,0.58647571,0,3,2
â“‚,0x24c2,5,0.765244502,1,1,3
ğŸ”§,0x1f527,5,0.677226399,4,0,1
ğŸ…,0x1f405,5,0.818550107,0,4,1
â™®,0x266e,5,0.936640494,0,4,1
ğŸ…¾,0x1f17e,5,0.977468672,2,2,1
ğŸ”„,0x1f504,5,0.971014493,0,5,0
â˜„,0x2604,5,0.435373547,0,5,0
â˜¨,0x2628,5,0.457692308,0,5,0
ğŸ“¦,0x1f4e6,4,0.508942142,0,3,1
ğŸšŠ,0x1f68a,4,0.412291392,1,1,2
ğŸ”²,0x1f532,4,0.665449309,0,1,3
ğŸ”,0x1f501,4,0.570472495,1,2,1
â–³,0x25b3,4,0.595601141,0,3,1
ğŸ“†,0x1f4c6,4,0.839991723,0,0,4
â›,0x275b,4,0.735294118,0,2,2
ğŸ“‰,0x1f4c9,4,0.726505602,0,2,2
â–µ,0x25b5,4,0.012558719,0,2,2
ğŸ”,0x1f50e,4,0.333026114,0,1,3
â˜œ,0x261c,4,0.95068438,0,3,1
ğŸ‡¯,0x1f1ef,4,0.598500468,0,2,2
ğŸ‡µ,0x1f1f5,4,0.60602405,0,2,2
ğŸ“˜,0x1f4d8,4,0.729794868,1,1,2
âœ¡,0x2721,4,0.542307692,0,4,0
â“”,0x24d4,4,0.423106061,0,1,3
ğŸ”‘,0x1f511,4,0.712219599,1,1,2
ğŸ”ƒ,0x1f503,4,0.480569642,1,2,1
ğŸ‘ƒ,0x1f443,4,0.617338955,2,0,2
â­•,0x2b55,4,0.521859186,0,2,2
ğŸ”˜,0x1f518,4,0.823106247,0,3,1
â“’,0x24d2,4,0.078409091,2,0,2
ğŸš­,0x1f6ad,4,0.691042031,0,0,4
ğŸš‰,0x1f689,4,0.517599805,0,1,3
ğŸšª,0x1f6aa,4,0.459991145,0,1,3
â³,0x27b3,4,0.689189189,0,2,2
ğŸšƒ,0x1f683,4,0.867813709,0,1,3
â”¯,0x252f,4,0.588235294,2,2,0
ğŸ¬,0x1f3ec,4,0.772435897,0,4,0
â˜½,0x263d,4,0.827205882,0,4,0
ğŸ†™,0x1f199,4,0.459136213,0,2,2
ğŸ†–,0x1f196,4,0.32767456,1,1,2
â˜ª,0x262a,4,0.5,0,4,0
â”—,0x2517,4,0.70743831,0,0,4
ğŸš®,0x1f6ae,4,0.705415215,2,0,2
â”«,0x252b,4,0.546428571,0,4,0
â“„,0x24c4,4,0.6875,0,2,2
â‡,0x2747,3,0.906565657,0,1,2
âœ´,0x2734,3,0.425259601,0,1,2
â”Œ,0x250c,3,1,1,1,1
â˜Š,0x260a,3,0.627212773,0,0,3
ğŸ”•,0x1f515,3,0.663273811,2,0,1
â¬›,0x2b1b,3,0.93331136,2,0,1
â,0x275d,3,0.012385762,0,3,0
â,0x275e,3,0.348845599,0,3,0
ğŸš,0x1f69e,3,0.401392441,0,1,2
ğŸ¶,0x1f376,3,0.670454148,0,1,2
ğŸŒ,0x1f310,3,0.661697723,0,1,2
â™€,0x2640,3,0.496259709,0,2,1
ğŸš…,0x1f685,3,0.60688385,0,1,2
ğŸš’,0x1f692,3,0.372181638,1,2,0
â£,0x27a3,3,0.607657549,0,3,0
â™‹,0x264b,3,0.66780619,0,2,1
â™,0x264d,3,0.921455436,0,1,2
ğŸ•,0x1f55d,3,0.673202614,1,2,0
â“,0x24d0,3,0.866666667,0,0,3
âœ—,0x2717,3,1,1,1,1
ğŸ“™,0x1f4d9,3,0.985204154,1,0,2
â“ˆ,0x24c8,3,0.837301587,0,2,1
ğŸ“‹,0x1f4cb,3,0.902676399,0,1,2
â‡¢,0x21e2,3,0.795568159,1,1,1
ğŸ±,0x1f3b1,3,0.733061963,1,0,2
ğŸ,0x1f41e,3,0.867149758,0,2,1
ğŸ”º,0x1f53a,3,0.331084568,0,2,1
â“¡,0x24e1,3,0.476666667,0,0,3
ğŸ,0x1f38d,3,0.460928261,0,3,0
â™¤,0x2664,3,0.864386792,0,1,2
ğŸ²,0x1f3b2,3,0.294190811,0,3,0
ğŸ¯,0x1f3af,3,0.928725808,0,1,2
ã€ ,0x3020,3,0.589554531,0,3,0
ğŸ”‰,0x1f509,3,0.527173913,0,1,2
â†©,0x21a9,3,0.790990991,0,0,3
ğŸš¾,0x1f6be,3,0.97979798,0,2,1
ğŸ£,0x1f3a3,3,0.661217721,2,1,0
ğŸ”£,0x1f523,3,0.73668039,0,2,1
â,0x274e,3,0.376693767,3,0,0
â¥,0x27a5,3,0.607479234,0,2,1
ğŸ…±,0x1f171,3,0.753702885,0,3,0
ğŸŒ,0x1f38c,3,0.720638968,0,0,3
â—£,0x25e3,3,0.1679015,0,2,1
â¬,0x23ec,3,0.798387097,0,0,3
â™­,0x266d,3,0.996296296,0,2,1
ğŸ’ ,0x1f4a0,3,0.634782609,0,3,0
â“,0x24de,2,0.334090909,0,0,2
ğŸ”³,0x1f533,2,0.35921659,0,1,1
ğŸ­,0x1f3ed,2,0.620360999,0,1,1
ğŸ”°,0x1f530,2,0.612218045,0,2,0
ğŸ³,0x1f3b3,2,0.031697819,1,1,0
â˜š,0x261a,2,0.536679293,0,0,2
â½,0x27bd,2,0.872727273,0,1,1
â«,0x27ab,2,0.22556391,0,1,1
â–,0x2796,2,0.023088023,2,0,0
ğŸ®,0x1f3ee,2,0.949404762,0,2,0
ğŸ“›,0x1f4db,2,0.964880952,0,2,0
ê’°,0xa4b0,2,0.744823477,0,1,1
ê’±,0xa4b1,2,0.800983167,0,1,1
â—,0x25dd,2,0.847674607,1,1,0
ğŸ“‘,0x1f4d1,2,0.557971014,0,0,2
ğŸ¦,0x1f3a6,2,0.796610169,0,2,0
â“§,0x24e7,2,0.96,0,0,2
ğŸ‡¨,0x1f1e8,2,0.935606061,0,2,0
ğŸ‡³,0x1f1f3,2,0.623484848,0,2,0
ğŸ”Ÿ,0x1f51f,2,0.801587302,0,0,2
ã€“,0x3013,2,0.533898305,0,0,2
â“œ,0x24dc,2,0.743085399,0,1,1
â ,0x27a0,2,0.642857143,0,0,2
ğŸš†,0x1f686,2,0.472714286,0,1,1
ğŸš ,0x1f6a0,2,0.807469512,0,2,0
â„…,0x2105,2,0.606150794,2,0,0
â˜ƒ,0x2603,2,0.566037736,0,1,1
ğŸš½,0x1f6bd,2,0.69047619,0,0,2
ğŸ“,0x1f4d0,2,0.02970297,0,2,0
â“,0x24dd,2,0.393333333,0,0,2
âœ®,0x272e,2,0.211711712,0,2,0
â‡¦,0x21e6,2,0.489955357,0,0,2
ğŸ‘²,0x1f472,2,0.382655827,0,1,1
ğŸš¡,0x1f6a1,2,0.622505543,1,1,0
ğŸ‘,0x1f391,2,0.309294872,0,2,0
ğŸ”¬,0x1f52c,2,0.727696078,0,0,2
â—,0x2797,2,0.018722944,1,1,0
ğŸ“ˆ,0x1f4c8,2,0.568724559,0,1,1
âŒ˜,0x2318,2,0.613333333,0,2,0
âª,0x23ea,2,0.489035088,0,1,1
â•¹,0x2579,2,0.952380952,0,2,0
â—,0x25ce,2,0.925,0,0,2
ğŸ”¼,0x1f53c,2,0.358974359,0,2,0
ê’¦,0xa4a6,2,0.953125,2,0,0
ğŸ“,0x1f4ce,2,0.044776119,0,0,2
â‘…,0x2445,2,0.652173913,0,0,2
â,0x235d,2,0.776859504,0,2,0
ğŸ“,0x1f4c1,2,0.785714286,0,2,0
âœ­,0x272d,2,0.589285714,0,0,2
â²,0x27b2,2,0.009615385,0,2,0
â™“,0x2653,2,0.093023256,0,1,1
â”,0x250f,2,0.58778626,0,0,2
â˜‡,0x2607,2,0.99382716,0,0,2
â™º,0x267a,2,0.175,0,2,0
â™,0x265e,2,0.581967213,0,2,0
à¿,0xfce,2,0.232142857,2,0,0
ğŸ“ ,0x1f4e0,2,1,0,2,0
ğŸ‘˜,0x1f458,2,0.643678161,0,0,2
â†™,0x2199,2,0.206766917,0,0,2
â’»,0x24bb,2,0.652777778,0,1,1
â“Œ,0x24cc,2,0.722222222,0,1,1
â“…,0x24c5,2,0.791666667,0,1,1
ğŸ•‘,0x1f551,2,0.988407728,0,1,1
ğŸ’½,0x1f4bd,1,0.566037736,0,1,0
ğŸ•›,0x1f55b,1,1,0,0,1
ğŸ«,0x1f3ab,1,0.452631579,0,1,0
â™ˆ,0x2648,1,0.524590164,1,0,0
ğŸ“Ÿ,0x1f4df,1,0.991666667,0,1,0
â„ƒ,0x2103,1,0.2375,0,1,0
â†¬,0x21ac,1,0.806818182,0,0,1
ğŸ•’,0x1f552,1,0.039215686,0,1,0
ğŸ‡°,0x1f1f0,1,0.939393939,0,1,0
â†±,0x21b1,1,0.537190083,0,1,0
âœ,0x270d,1,1,0,0,1
â‡,0x21d0,1,0.741007194,0,1,0
ğŸ¦,0x1f3e6,1,1,0,0,1
ğŸ”»,0x1f53b,1,0.575757576,0,0,1
â“Ÿ,0x24df,1,0.05,0,0,1
â“•,0x24d5,1,0.1,0,0,1
â“˜,0x24d8,1,0.166666667,0,0,1
â™¿,0x267f,1,1,0,0,1
â‡—,0x21d7,1,0.761904762,0,0,1
â‡˜,0x21d8,1,0.857142857,0,0,1
â“¨,0x24e8,1,0.613333333,0,0,1
â“™,0x24d9,1,0.68,0,0,1
â–«,0x25ab,1,0.126760563,0,0,1
ğŸ”‡,0x1f507,1,1,0,0,1
âŒƒ,0x2303,1,0.611940299,1,0,0
ğŸ”–,0x1f516,1,0.988888889,0,0,1
ğŸ“œ,0x1f4dc,1,1,0,0,1
â™,0x264f,1,0.772058824,0,1,0
ğŸš,0x1f69d,1,0.966666667,0,0,1
â˜¢,0x2622,1,0.725,0,1,0
ğŸ,0x1f38f,1,0.390243902,0,1,0
â”˜,0x2518,1,0.909090909,1,0,0
âœ,0x271d,1,0.411764706,1,0,0
â–,0x2756,1,0.581967213,0,1,0
â£,0x2363,1,0.953125,1,0,0
ğŸ“®,0x1f4ee,1,0.798319328,1,0,0
ğŸ••,0x1f555,1,0.646153846,1,0,0
ğŸ‡­,0x1f1ed,1,0.236363636,0,1,0
â—œ,0x25dc,1,0.760330579,0,1,0
ğŸ”¯,0x1f52f,1,1,0,0,1
â¸,0x27b8,1,0.364963504,0,0,1
ê’µ,0xa4b5,1,0.927007299,0,0,1
ğŸ•¥,0x1f565,1,0.811965812,1,0,0
â™™,0x2659,1,0.342857143,0,1,0
â–¿,0x25bf,1,0.432835821,0,1,0
âšƒ,0x2683,1,0.918918919,0,1,0
âœ½,0x273d,1,0.99270073,0,0,1
ğŸ“¼,0x1f4fc,1,1,0,0,1
ğŸ•,0x1f550,1,1,1,0,0
ğŸ€„,0x1f004,1,1,0,0,1
âœ¾,0x273e,1,0.023255814,0,1,0
âœ¬,0x272c,1,0.955223881,0,0,1
ğŸ†‘,0x1f191,1,0.983606557,0,1,0
âœ«,0x272b,1,0.923728814,0,0,1
ğŸ•”,0x1f554,1,0.742424242,1,0,0
â£,0x2763,1,0.471428571,0,0,1
â±,0x27b1,1,0.704347826,0,1,0
ğŸ†•,0x1f195,1,0.669117647,0,1,0
â¢,0x27a2,1,0.242647059,0,1,0
â†•,0x2195,1,0.735632184,0,1,0
ğŸ“«,0x1f4eb,1,0.384615385,0,0,1
ğŸ‰,0x1f250,1,0.03125,0,0,1
â™Š,0x264a,1,0.327586207,0,1,0
ğŸˆ‚,0x1f202,1,0.466666667,1,0,0
ğŸ°,0x1f3b0,1,0.421686747,1,0,0
Ò‚,0x482,1,0.519230769,1,0,0
â•¤,0x2564,1,0.634615385,1,0,0
â›,0x279b,1,0.011627907,0,1,0
â™,0x265d,1,0.28,0,1,0
â‹,0x274b,1,0.888888889,0,1,0
âœ†,0x2706,1,0.557251908,0,1,0
ğŸ“”,0x1f4d4,1,0.814814815,0,0,1